Air;(unspecified);Sulfuryl fluoride;002699-79-8;4.73E+03;kg
Air;(unspecified);Trifluoro(fluoromethoxy)methane;2261-01-0;9.09E+02;kg
Air;(unspecified);Trifluoromethyl acetate;74123-20-9;3.00E+00;kg
Air;(unspecified);Trifluoromethylformate;85358-65-2;7.12E+02;kg
Air;(unspecified);Trifluoromethylsulfur pentafluoride;000373-80-8;1.94E+04;kg
;;;;;
Impact category;;;;;
Climate change, long term;kg CO2 eq (long);;;;
;;;;;
Substances;;;;;
Air;(unspecified);(E)-HFC-1225ye;10/8/5595;0.00E+00;kg
Air;(unspecified);(E)-HFC-1234ze;1645-83-6;0.00E+00;kg
Air;(unspecified);(Z)-HFC-1225ye;5528-43-8;0.00E+00;kg
Air;(unspecified);(Z)-HFC-1234ze;29118-25-0;0.00E+00;kg
Air;(unspecified);(Z)-HFC-1336;692-49-9;1.00E+00;kg
Air;(unspecified);1-ethoxy-1,1,2,2,3,3,3-heptafluoropropane;22052-86-4;2.40E+01;kg
Air;(unspecified);1-ethoxy-1,1,2,3,3,3-hexafluoropropane;380-34-7;9.00E+00;kg
Air;(unspecified);1-Propanol, 3,3,3-trifluoro-2,2-bis(trifluoro,,,, HFE-7100;14117-17-0;1.64E+02;kg
Air;(unspecified);1,1'-oxybis[2-(difluoromethoxy)-1,1,2,2-tetrafluoroethane;205367-61-9;2.60E+03;kg
Air;(unspecified);1,1-difluoroethyl-2,2,2-trifluoroacetate;1344118-13-;1.20E+01;kg
Air;(unspecified);1,1-difluorothyl carbonofluoridate;1344118-11-;1.00E+01;kg
Air;(unspecified);1,1,1,2,2,3,3-heptafluoro-3-(1,2,2,2-tetrafluoroethoxy)-propane;3330-15-2;5.96E+03;kg
Air;(unspecified);1,1,1,3,3,3-Hexafluoropropan-2-ol;000920-66-1;7.10E+01;kg
Air;(unspecified);1,1,1,3,3,3-hexafluoropropan-2-yl formate;856766-70-6;1.30E+02;kg
Air;(unspecified);1,1,2-trifluoro-2-(trifluoromethoxy)-ethane;84011-06-3;4.92E+02;kg
Air;(unspecified);1,1,2,2-tetrafluoro-1-(fluoromethoxy)ethane;37031-31-5;3.41E+02;kg
Air;(unspecified);1,1,2,2-tetrafluoro-3-methoxy-propane;60598-17-6;0.00E+00;kg
Air;(unspecified);1,1,3,3,4,4,6,6,7,7,9,9,10,10,12,12-hexadecafluoro-2,5,8,11-tetraoxadodecane;173350-37-3;2.38E+03;kg
Air;(unspecified);1,1,3,3,4,4,6,6,7,7,9,9,10,10,12,12,13,13,15-eicosafluoro-2,5,8,11,14-pentaox*;173350-38-4;1.92E+03;kg
Air;(unspecified);1,2,2,2-tetrafluoroethylformate;481631-19-0;1.83E+02;kg
Air;(unspecified);2-chloro-1,1,2-trifluoro-1-methoxyethane;425-87-6;4.80E+01;kg
Air;(unspecified);2-ethoxy-3,3,4,4,5-pentafluorotetrahydro-2,5-bis[1,2,2,2-tetrafluoro-1-(trifluo*;920979-28-8;2.20E+01;kg
Air;(unspecified);2-fluoroethanol;371-62-0;0.00E+00;kg
Air;(unspecified);2,2-difluoroethanol;359-13-7;1.00E+00;kg
Air;(unspecified);2,2,2-TRIFLUOROETHANOL;75898;8.00E+00;kg
Air;(unspecified);2,2,2-trifluoroethyl 2,2,2-trifluoroacetate;407-38-5;3.00E+00;kg
Air;(unspecified);2,2,2-trifluoroethylformate;32042-38-9;1.30E+01;kg
Air;(unspecified);2,2,3,3-tetrafluoro-1-propanol;76-37-9;5.00E+00;kg
Air;(unspecified);2,2,3,3,3-pentafluoropropan-1-ol;422-05-9;7.00E+00;kg
Air;(unspecified);2,2,3,3,4,4,4-heptafluoro-1-butanol;375-01-9;6.00E+00;kg
Air;(unspecified);2,2,3,3,4,4,4-heptafluorobutan-1-ol;375-01-9;1.30E+01;kg
Air;(unspecified);2,2,3,3,4,4,5,5-octafluorocyclopentanol;16621-87-7;5.00E+00;kg
Air;(unspecified);2,2,3,4,4,4-hexafluoro-1-butanol;382-31-0;7.00E+00;kg
Air;(unspecified);3,3,3-trifluoropropan-1-ol;2240-88-2;0.00E+00;kg
Air;(unspecified);3,3,3-trifluoropropanal;460-40-2;0.00E+00;kg
Air;(unspecified);3,3,3-trifluoropropylformate;1344118-09-;7.00E+00;kg
Air;(unspecified);3,3,4,4,5,5,6,6,6-nonafluorohex-1-ene;19430-93-4;0.00E+00;kg
Air;(unspecified);3,3,4,4,5,5,6,6,7,7,7-undecafluoroheptan-1-ol;185689-57-0;0.00E+00;kg
Air;(unspecified);3,3,4,4,5,5,6,6,7,7,8,8,8-tridecafluorooct-1-ene;25291-17-2;0.00E+00;kg
